PersonalID,Title,FullName,Gender,DateOfBirth,District,DSDivision,Address,MobileNumber,CivilStatus,NICNumber,PassportNumber,Email
6001,Mr.,Isuru Guneratne,Male,2002-08-15,Jaffna,Island North,"453 Kandy Road, Island North, Jaffna",0769096523,Married,747634628V,N6120560,
6002,Mr.,Zahran Gamage,Male,2000-08-12,Kandy,Medadumbara,"200 Kandy Road, Medadumbara, Kandy",0722788975,Married,722722380V,N5692927,zahran.gamage@slnet.lk
6003,Ms.,Nethmi Ilangakoon,Female,1976-08-14,Trincomalee,Morawewa,"725 Kandy Road, Morawewa, Trincomalee",0741884501,Married,813597225V,N9959993,nethmi.ilangakoon@gmail.com
6004,Mr.,Lahiru Obeysekera,Male,1980-01-05,Kegalle,Warakapola,"639 School Lane, Warakapola, Kegalle",0797376847,Married,755121839V,N1101453,
6005,Mr.,Tilak Kodithuwakku,Male,1985-03-23,Vavuniya,Vavuniya North,"47 High Street, Vavuniya North, Vavuniya",0799969684,Divorced,888002983V,N7884631,tilak.kodithuwakku@slnet.lk
6006,Mr.,Adeesha Yogarajah,Male,2005-06-02,Trincomalee,Muttur,"745 Beach Road, Muttur, Trincomalee",0767469640,Divorced,932594978V,N2200905,adeesha.yogarajah@slnet.lk
6007,Miss,Madhavi Abeysinghe,Female,1979-07-12,Ratnapura,Balangoda,"521 School Lane, Balangoda, Ratnapura",0772553326,Single,934313435V,N5050011,
6008,Mr.,Gamini Liyanage,Male,1999-09-08,Kalutara,Kalutara,"727 Temple Road, Kalutara, Kalutara",0763979384,Married,685104680V,N1738218,
6009,Miss,Zara Dissanayake,Female,1985-06-19,Gampaha,Ja-Ela,"342 Beach Road, Ja-Ela, Gampaha",0756636057,Married,757647226V,N6229529,zara.dissanayake@slnet.lk
6010,Mrs.,Oshini Yapa,Female,1977-06-17,Galle,Gonapinuwala,"803 Galle Road, Gonapinuwala, Galle",0798990447,Married,529111970V,N3874848,oshini.yapa@slnet.lk
6011,Ms.,Harshani Bandara,Female,1987-04-27,Polonnaruwa,Welikanda,"521 Beach Road, Welikanda, Polonnaruwa",0786943344,Married,771145075V,N6455076,harshani.bandara@yahoo.com
6012,Miss,Hansika Nadarajah,Female,2006-05-18,Batticaloa,Manmunai Pattu,"81 Park Lane, Manmunai Pattu, Batticaloa",0788602558,Single,874799606V,N1256624,
6013,Mrs.,Bhagya Perera,Female,2004-02-29,Batticaloa,Manmunai West,"278 Temple Road, Manmunai West, Batticaloa",0758342184,Married,727648426V,N5667578,
6014,Miss,Vishaka Kodithuwakku,Female,1981-09-27,Badulla,Bandarawela,"647 Beach Road, Bandarawela, Badulla",0759184138,Married,579664096V,N2809068,
6015,Mr.,Lahiru Alwis,Male,2002-10-09,Batticaloa,Porativu Pattu,"488 Park Lane, Porativu Pattu, Batticaloa",0766382410,Single,869882725V,N1632624,
6016,Mr.,Dinesh Dias,Male,1999-11-04,Ratnapura,Pelmadulla,"918 Temple Road, Pelmadulla, Ratnapura",0781395088,Single,671796508V,N9151064,
6017,Mr.,Jayantha Edirisinghe,Male,1989-05-09,Matara,Athuraliya,"298 Church Street, Athuraliya, Matara",0783202120,Married,903083670V,N6710519,
6018,Miss,Harshani Kumara,Female,2001-08-22,Galle,Neluwa,"484 Park Lane, Neluwa, Galle",0770697288,Married,736319595V,N9232180,
6019,Mr.,Kapila Bandara,Male,2004-03-14,Mannar,Nanthankadal,"662 Church Street, Nanthankadal, Mannar",0747696240,Single,697986804V,N2464210,kapila.bandara@slnet.lk
6020,Mrs.,Tharushi Wickramasinghe,Female,1998-07-22,Matale,Laggala-Pallegama,"834 Church Street, Laggala-Pallegama, Matale",0720199285,Single,797957486V,N5236384,
6021,Mrs.,Fathima Gunawardena,Female,2000-06-20,Matale,Galewela,"134 Beach Road, Galewela, Matale",0746568344,Married,985675791V,N4614981,
6022,Mr.,Ajith Nanayakkara,Male,1987-10-21,Ampara,Addalachchenai,"313 School Lane, Addalachchenai, Ampara",0779863979,Single,663944796V,N5507838,ajith.nanayakkara@gmail.com
6023,Mr.,Nalaka Madugalle,Male,2007-05-25,Polonnaruwa,Lankapura,"177 School Lane, Lankapura, Polonnaruwa",0730972615,Married,515638771V,N6002802,
6024,Ms.,Isuri Cooray,Female,2001-10-28,Mullaitivu,Welioya,"846 Church Street, Welioya, Mullaitivu",0721217182,Single,504107957V,N2014351,
6025,Mr.,Suranga Xavier,Male,1995-06-19,Kandy,Panvila,"90 School Lane, Panvila, Kandy",0762862567,Single,703120430V,N2842535,
6026,Ms.,Pavithra Samarasinghe,Female,1976-10-15,Kilinochchi,Kandavalai,"345 Kandy Road, Kandavalai, Kilinochchi",0734653821,Single,909902936V,N8882490,pavithra.samarasinghe@slnet.lk
6027,Mrs.,Wathsala Ekanayake,Female,1994-05-30,Nuwara Eliya,Hanguranketha,"378 Beach Road, Hanguranketha, Nuwara Eliya",0770772047,Single,966957739V,N8353738,wathsala.ekanayake@yahoo.com
6028,Mrs.,Anjali Opatha,Female,2003-11-30,Hambantota,Lunugamvehera,"489 Kandy Road, Lunugamvehera, Hambantota",0710962327,Married,556097377V,N1976114,anjali.opatha@hotmail.com
6029,Miss,Janani Hewage,Female,2005-10-03,Hambantota,Sooriyawewa,"239 Kandy Road, Sooriyawewa, Hambantota",0749887735,Single,741098646V,N3610095,janani.hewage@gmail.com
6030,Mr.,Madushan Dharmasena,Male,1987-12-04,Kilinochchi,Poonakary,"148 Beach Road, Poonakary, Kilinochchi",0723824160,Single,572789863V,N5723173,
6031,Mr.,Pradeep Basnayake,Male,1986-03-28,Hambantota,Sooriyawewa,"548 Galle Road, Sooriyawewa, Hambantota",0716818875,Single,735764651V,N7077366,
6032,Mr.,Ibrahim Hettiarachchi,Male,1992-09-18,Mannar,Madhu,"121 Church Street, Madhu, Mannar",0742030637,Single,913311630V,N6095353,
6033,Miss,Eshika Pathirana,Female,1985-07-22,Galle,Nagoda,"920 Kandy Road, Nagoda, Galle",0794884194,Married,734865268V,N9658051,
