PersonalID,Title,FullName,Gender,DateOfBirth,District,DSDivision,Address,MobileNumber,CivilStatus,NICNumber,PassportNumber,Email
5001,Mr.,Aloka Ratnayake,Male,2000-04-03,Kandy,Udadumbara,"554 Colombo Street, Udadumbara, Kandy",0794767005,Married,642692011V,N3284583,
5002,Mr.,Oshan Vithanage,Male,1985-08-19,Matara,Matara Four Gravets,"324 High Street, Matara Four Gravets, Matara",0733104005,Married,974853875V,N3978128,oshan.vithanage@slnet.lk
5003,Mr.,Dayan Kumara,Male,1983-05-20,Kandy,Doluwa,"712 Beach Road, Doluwa, Kandy",0782353683,Widowed,988401513V,N4062757,
5004,Mr.,Tilak Kulathunga,Male,1976-09-27,Kilinochchi,Pachchilaipalli,"334 School Lane, Pachchilaipalli, Kilinochchi",0755753742,Married,869465549V,N9247506,tilak.kulathunga@gmail.com
5005,Mr.,Ibrahim Xavier,Male,2000-07-18,Galle,Galle Four Gravets,"310 Temple Road, Galle Four Gravets, Galle",0750789239,Single,693039872V,N4100611,ibrahim.xavier@slnet.lk
5006,Mr.,Gayan Balasuriya,Male,1985-01-27,Kilinochchi,Poonakary,"943 Temple Road, Poonakary, Kilinochchi",0753955504,Married,968093564V,N7760977,
5007,Mr.,Chandana Fernando,Male,1987-12-04,Trincomalee,Seruvila,"265 Temple Road, Seruvila, Trincomalee",0765415215,Single,839354860V,N6227664,chandana.fernando@yahoo.com
5008,Mr.,Abhaya Thangavelu,Male,2003-12-16,Gampaha,Negombo,"189 Main Road, Negombo, Gampaha",0713292241,Married,560643601V,N4744008,abhaya.thangavelu@hotmail.com
5009,Ms.,Thushari Fernando,Female,1984-05-18,Hambantota,Beliatta,"246 Galle Road, Beliatta, Hambantota",0779335130,Married,865932590V,N7269002,thushari.fernando@yahoo.com
5010,Miss,Sanduni Zuhair,Female,1978-06-19,Mannar,Nanthankadal,"995 High Street, Nanthankadal, Mannar",0762760801,Married,827926781V,N9761383,sanduni.zuhair@hotmail.com
5011,Mr.,Chaminda Ilangakoon,Male,1994-11-21,Vavuniya,Vavuniya South,"484 Galle Road, Vavuniya South, Vavuniya",0725628807,Married,503633197V,N5870316,
5012,Miss,Bhagya Ranaweera,Female,1998-11-24,Mullaitivu,Maritimepattu,"205 Kandy Road, Maritimepattu, Mullaitivu",0755475563,Married,740406759V,N8260307,bhagya.ranaweera@hotmail.com
5013,Mr.,Oshan de Silva,Male,1987-10-14,Trincomalee,Seruvila,"996 Temple Road, Seruvila, Trincomalee",0772929883,Married,743106284V,N3585615,oshan.de silva@yahoo.com
5014,Mr.,Hemantha Wijesinghe,Male,1976-10-05,Puttalam,Puttalam,"386 Colombo Street, Puttalam, Puttalam",0717051572,Married,822937387V,N2680074,hemantha.wijesinghe@yahoo.com
5015,Mr.,Priyantha Ponnambalam,Male,1982-05-06,Jaffna,Island South,"934 High Street, Island South, Jaffna",0762417001,Single,588520070V,N1579649,priyantha.ponnambalam@gmail.com
5016,Mr.,Ranjith Fonseka,Male,2005-01-13,Nuwara Eliya,Kothmale,"646 School Lane, Kothmale, Nuwara Eliya",0797117339,Single,544991478V,N2371171,ranjith.fonseka@gmail.com
5017,Miss,Deepthi Yapa,Female,1986-09-15,Gampaha,Mahara,"110 Beach Road, Mahara, Gampaha",0786413184,Married,635497101V,N3474774,deepthi.yapa@slnet.lk
5018,Mrs.,Bhagya Sivapragasam,Female,1992-07-05,Nuwara Eliya,Kothmale,"960 Kandy Road, Kothmale, Nuwara Eliya",0736387101,Married,868002779V,N3072575,bhagya.sivapragasam@yahoo.com
5019,Mr.,Ranjith Alwis,Male,1987-04-26,Polonnaruwa,Lankapura,"257 Park Lane, Lankapura, Polonnaruwa",0734675134,Married,882815087V,N1932404,
5020,Mrs.,Oshadi Dissanayake,Female,1983-02-17,Kilinochchi,Kandavalai,"192 Galle Road, Kandavalai, Kilinochchi",0782082022,Married,979233751V,N5609881,
5021,Mrs.,Lasika Xavier,Female,1986-10-08,Trincomalee,Seruvila,"253 Galle Road, Seruvila, Trincomalee",0747465014,Married,508261072V,N9184076,lasika.xavier@hotmail.com
5022,Mr.,Jayantha Zuhair,Male,1992-10-20,Jaffna,Valikamam South-West,"775 Church Street, Valikamam South-West, Jaffna",0730398319,Single,682431539V,N4872630,
5023,Mr.,Nimal Zoysa,Male,2000-03-08,Anuradhapura,Kahatagasdigiliya,"182 Main Road, Kahatagasdigiliya, Anuradhapura",0799300571,Married,726519675V,N5604535,
5024,Mr.,Mahinda Alwis,Male,1981-08-21,Puttalam,Kalpitiya,"131 Kandy Road, Kalpitiya, Puttalam",0741103955,Single,853811202V,N3049231,mahinda.alwis@yahoo.com
5025,Mr.,Kapila Obeysekera,Male,1996-10-11,Ampara,Pothuvil,"349 Temple Road, Pothuvil, Ampara",0762673553,Married,934594166V,N7992964,kapila.obeysekera@slnet.lk
5026,Mr.,Chandana Kumara,Male,1987-06-18,Kilinochchi,Karachchi,"241 Temple Road, Karachchi, Kilinochchi",0775004138,Single,938389563V,N2479398,
5027,Mr.,Nimal Kumara,Male,1996-03-27,Colombo,Kolonnawa,"121 Temple Road, Kolonnawa, Colombo",0753617739,Married,778250846V,N2983877,nimal.kumara@yahoo.com
5028,Mr.,Chaminda Galappaththi,Male,2002-10-28,Matara,Akuressa,"540 Galle Road, Akuressa, Matara",0757101176,Single,518853644V,N7568931,
5029,Miss,Wasanthi Ibrahim,Female,2007-04-24,Matale,Wilgamuwa,"763 Colombo Street, Wilgamuwa, Matale",0787400100,Married,615209152V,N6681860,wasanthi.ibrahim@gmail.com
5030,Mr.,Lalith Hettiarachchi,Male,1998-08-02,Colombo,Moratuwa,"360 High Street, Moratuwa, Colombo",0725184708,Single,800375214V,N8221732,
5031,Mr.,Asanga Fernando,Male,1978-05-21,Colombo,Kesbewa,"4 High Street, Kesbewa, Colombo",0775336188,Single,585983674V,N2390577,
5032,Miss,Bhagya Yapa,Female,1978-07-24,Colombo,Seethawaka,"418 Beach Road, Seethawaka, Colombo",0743584015,Single,502288768V,N5841996,
5033,Mr.,Gamini Udayanga,Male,2001-11-09,Kegalle,Rambukkana,"736 Kandy Road, Rambukkana, Kegalle",0766287074,Married,971006690V,N7915666,gamini.udayanga@yahoo.com
5034,Mr.,Ibrahim Jayaweera,Male,1991-05-06,Mannar,Mannar Town,"579 Galle Road, Mannar Town, Mannar",0737655806,Single,803458008V,N2914117,ibrahim.jayaweera@yahoo.com
5035,Mr.,Rohan Vigneswaran,Male,1981-10-24,Nuwara Eliya,Nuwara Eliya,"971 School Lane, Nuwara Eliya, Nuwara Eliya",0718789414,Married,915771145V,N6591239,
5036,Ms.,Anne Amarasinghe,Female,1986-09-17,Hambantota,Beliatta,"683 High Street, Beliatta, Hambantota",0752299680,Married,575560107V,N4643355,anne.amarasinghe@yahoo.com
5037,Mr.,Mahinda Ibrahim,Male,1999-04-22,Matale,Galewela,"976 Beach Road, Galewela, Matale",0721489390,Married,690231560V,N2196294,
5038,Mr.,Mohamed Rizvi,Male,1999-12-27,Trincomalee,Thambalagamuwa,"507 School Lane, Thambalagamuwa, Trincomalee",0795106761,Married,553752879V,N8683125,mohamed.rizvi@slnet.lk
5039,Miss,Thushari Munasinghe,Female,1985-05-04,Kurunegala,Ganewatta,"585 Colombo Street, Ganewatta, Kurunegala",0789839498,Married,676785381V,N9249902,
5040,Mr.,Dinesh Ekanayake,Male,1989-03-25,Moneragala,Bibile,"851 Colombo Street, Bibile, Moneragala",0766022100,Married,547800083V,N5066769,dinesh.ekanayake@yahoo.com
5041,Mr.,Eranga Jayaweera,Male,2005-04-09,Kalutara,Beruwala,"221 Galle Road, Beruwala, Kalutara",0728031770,Married,826003418V,N4302337,eranga.jayaweera@gmail.com
5042,Mr.,Pasindu Sivapragasam,Male,2000-08-08,Kandy,Akurana,"256 Main Road, Akurana, Kandy",0719485174,Married,950476311V,N1702463,pasindu.sivapragasam@gmail.com
5043,Mr.,Isuru Amarasinghe,Male,1999-05-14,Moneragala,Moneragala,"628 Main Road, Moneragala, Moneragala",0747120224,Single,991188679V,N9452006,isuru.amarasinghe@gmail.com
5044,Mr.,Priyantha Gunawardena,Male,2001-07-11,Batticaloa,Eravur Pattu,"385 Temple Road, Eravur Pattu, Batticaloa",0744060253,Divorced,534211578V,N9860676,
5045,Mr.,Asanga Vithanage,Male,1979-03-20,Kandy,Yatinuwara,"628 Galle Road, Yatinuwara, Kandy",0776368080,Married,988328219V,N6538458,
5046,Miss,Eshini Nanayakkara,Female,1979-02-13,Kandy,Hatharaliyadda,"616 Kandy Road, Hatharaliyadda, Kandy",0722588745,Single,624734034V,N3251264,eshini.nanayakkara@yahoo.com
5047,Ms.,Rashmi Jaleel,Female,2007-07-26,Matale,Pallepola,"171 Colombo Street, Pallepola, Matale",0769680141,Single,819020507V,N4916478,rashmi.jaleel@slnet.lk
5048,Mr.,Mahesh Opatha,Male,1984-08-08,Ampara,Sainthamarathu,"719 Temple Road, Sainthamarathu, Ampara",0743817910,Married,625497366V,N7643802,
5049,Mrs.,Bhagya Fonseka,Female,1991-08-06,Puttalam,Anamaduwa,"442 Colombo Street, Anamaduwa, Puttalam",0794392799,Divorced,704957038V,N8605804,bhagya.fonseka@gmail.com
5050,Mr.,Kithsiri Zoysa,Male,1982-09-17,Mullaitivu,Maritimepattu,"209 Park Lane, Maritimepattu, Mullaitivu",0753551533,Married,733757763V,N5910438,
5051,Mr.,Bandula Bandara,Male,1992-03-06,Nuwara Eliya,Hanguranketha,"951 School Lane, Hanguranketha, Nuwara Eliya",0734482607,Single,506694766V,N4993426,
5052,Mr.,Nimal Yapa,Male,1987-11-11,Kalutara,Ingiriya,"435 Kandy Road, Ingiriya, Kalutara",0713134355,Married,952441757V,N1746069,
5053,Mr.,Vijitha Udayanga,Male,1987-10-25,Ampara,Padiyathalawa,"859 Colombo Street, Padiyathalawa, Ampara",0751781566,Married,698000841V,N2117553,
5054,Mr.,Zameer Nanayakkara,Male,1976-03-27,Colombo,Padukka,"208 Colombo Street, Padukka, Colombo",0787593805,Widowed,567986268V,N9998493,
5055,Mr.,Wasantha Thangavelu,Male,2004-08-07,Galle,Thawalama,"146 School Lane, Thawalama, Galle",0712718619,Single,761923624V,N5593966,
5056,Mrs.,Shashika Perera,Female,1990-06-04,Kurunegala,Wariyapola,"591 Beach Road, Wariyapola, Kurunegala",0773629778,Married,620372410V,N8251792,shashika.perera@slnet.lk
5057,Mr.,Kamal Pathirana,Male,2001-10-16,Kurunegala,Narammala,"815 Temple Road, Narammala, Kurunegala",0777114051,Married,761259280V,N8613784,kamal.pathirana@yahoo.com
5058,Ms.,Yasara Nadarajah,Female,1984-02-02,Kegalle,Dehiovita,"132 Kandy Road, Dehiovita, Kegalle",0721400802,Single,915258935V,N7755714,
5059,Miss,Roshini Udayanga,Female,1989-09-16,Mannar,Nanthankadal,"123 Main Road, Nanthankadal, Mannar",0714784223,Single,698074650V,N6146608,
5060,Mr.,Nalaka Edirisinghe,Male,1997-01-20,Puttalam,Pallama,"554 Colombo Street, Pallama, Puttalam",0778586975,Married,877951277V,N1956654,
5061,Mr.,Harsha Zuhair,Male,2004-07-12,Vavuniya,Vengalacheddikulam,"971 School Lane, Vengalacheddikulam, Vavuniya",0787576211,Married,883571999V,N2138526,harsha.zuhair@yahoo.com
5062,Ms.,Inoka Wickramasinghe,Female,1980-05-05,Kegalle,Rambukkana,"235 Temple Road, Rambukkana, Kegalle",0733855492,Divorced,598916459V,N5068239,inoka.wickramasinghe@slnet.lk
5063,Ms.,Chathurika Cooray,Female,1993-04-24,Nuwara Eliya,Walapane,"799 Kandy Road, Walapane, Nuwara Eliya",0732426569,Single,985492760V,N2342448,
5064,Mr.,Udaya Jayawardena,Male,1979-03-13,Ratnapura,Kalawana,"789 Galle Road, Kalawana, Ratnapura",0764426605,Married,759736976V,N3410393,udaya.jayawardena@hotmail.com
5065,Mr.,Gayan Karunaratne,Male,2002-03-20,Kalutara,Dodangoda,"492 Beach Road, Dodangoda, Kalutara",0720671079,Single,752753180V,N4921059,
5066,Mr.,Lahiru Abeysinghe,Male,1995-07-08,Anuradhapura,Palugaswewa,"218 Temple Road, Palugaswewa, Anuradhapura",0775205019,Single,988405347V,N4248663,lahiru.abeysinghe@slnet.lk
5067,Mr.,Kithsiri Obeysekera,Male,1999-10-23,Matara,Pasgoda,"890 Beach Road, Pasgoda, Matara",0797465268,Married,862577466V,N7227336,kithsiri.obeysekera@hotmail.com
5068,Mrs.,Janani Yogarajah,Female,1987-05-13,Kandy,Udapalatha,"143 High Street, Udapalatha, Kandy",0787193112,Single,695928566V,N2416726,janani.yogarajah@yahoo.com
5069,Mr.,Duminda Basnayake,Male,1976-01-08,Polonnaruwa,Dimbulagala,"200 Temple Road, Dimbulagala, Polonnaruwa",0758141478,Single,673222291V,N6536607,duminda.basnayake@hotmail.com
5070,Mr.,Gamini Fernando,Male,2007-05-10,Vavuniya,Vengalacheddikulam,"17 Main Road, Vengalacheddikulam, Vavuniya",0795351987,Married,903998405V,N5929565,gamini.fernando@gmail.com
5071,Ms.,Janani Vigneswaran,Female,2003-05-25,Kurunegala,Rasnayakapura,"49 Beach Road, Rasnayakapura, Kurunegala",0721616191,Single,879116070V,N1370163,janani.vigneswaran@gmail.com
5072,Mrs.,Nadeesha Balasuriya,Female,2005-07-18,Galle,Imaduwa,"727 Colombo Street, Imaduwa, Galle",0740035749,Single,765202232V,N5352759,
5073,Ms.,Tharushi Jayawardena,Female,1993-03-03,Matale,Dambulla,"875 Temple Road, Dambulla, Matale",0720843612,Married,618374347V,N9527515,
5074,Mr.,Abhaya Fonseka,Male,1985-11-05,Nuwara Eliya,Hanguranketha,"286 School Lane, Hanguranketha, Nuwara Eliya",0745247995,Single,729591207V,N1829273,abhaya.fonseka@slnet.lk
5075,Miss,Roshini Ilangakoon,Female,1979-03-24,Ampara,Ampara,"362 Main Road, Ampara, Ampara",0771703710,Single,963434722V,N2002613,roshini.ilangakoon@gmail.com
5076,Mr.,Ibrahim Alwis,Male,2005-04-22,Moneragala,Wellawaya,"65 Galle Road, Wellawaya, Moneragala",0796352145,Divorced,835743325V,N3598554,
5077,Miss,Udeshika Edirisinghe,Female,1982-06-07,Polonnaruwa,Thamankaduwa,"619 Galle Road, Thamankaduwa, Polonnaruwa",0711206255,Married,671390901V,N3858679,udeshika.edirisinghe@gmail.com
5078,Mr.,Asanga Kulathunga,Male,2003-09-28,Kandy,Poojapitiya,"814 Church Street, Poojapitiya, Kandy",0788104193,Single,958670507V,N4103409,
5079,Miss,Jayani Samarasinghe,Female,1983-04-25,Matara,Thihagoda,"206 School Lane, Thihagoda, Matara",0792935977,Married,809988922V,N7906075,jayani.samarasinghe@gmail.com
5080,Mr.,Asanga Ilangakoon,Male,1977-03-10,Kandy,Poojapitiya,"413 Colombo Street, Poojapitiya, Kandy",0732652020,Married,831842941V,N5563436,
5081,Miss,Nirosha Weerasinghe,Female,1984-04-08,Colombo,Kolonnawa,"85 Temple Road, Kolonnawa, Colombo",0760395644,Single,892721936V,N2100493,nirosha.weerasinghe@yahoo.com
5082,Miss,Lakmini Rizvi,Female,1980-09-17,Hambantota,Thissamaharama,"708 Main Road, Thissamaharama, Hambantota",0784744466,Single,510366418V,N3825017,lakmini.rizvi@slnet.lk
5083,Mr.,Amarasiri Ratnayake,Male,1983-10-09,Jaffna,Karainagar,"681 Main Road, Karainagar, Jaffna",0738034161,Single,982550728V,N2624331,amarasiri.ratnayake@slnet.lk
5084,Mr.,Lalith Jayaweera,Male,1997-01-29,Matale,Laggala-Pallegama,"533 Park Lane, Laggala-Pallegama, Matale",0749951665,Single,750018384V,N1513923,
5085,Miss,Bhagya Madugalle,Female,1988-12-29,Matale,Pallepola,"194 Galle Road, Pallepola, Matale",0789665399,Married,633822625V,N1229899,bhagya.madugalle@gmail.com
5086,Ms.,Harshani Wijesinghe,Female,1986-08-12,Puttalam,Kalpitiya,"833 Kandy Road, Kalpitiya, Puttalam",0726336600,Married,935097270V,N1214761,harshani.wijesinghe@hotmail.com
5087,Mrs.,Lakmini Gunawardena,Female,1981-11-22,Trincomalee,Trincomalee Town and Gravets,"887 Kandy Road, Trincomalee Town and Gravets, Trincomalee",0733290783,Married,647503820V,N1146141,lakmini.gunawardena@hotmail.com
5088,Ms.,Wathsala Jayaweera,Female,1987-07-22,Badulla,Ella,"902 Kandy Road, Ella, Badulla",0729529809,Single,904881525V,N3228518,wathsala.jayaweera@hotmail.com
5089,Mr.,Sampath Pathirana,Male,1985-02-13,Colombo,Moratuwa,"434 Main Road, Moratuwa, Colombo",0737782640,Married,596788484V,N3066074,sampath.pathirana@slnet.lk
5090,Mrs.,Yasara Hewage,Female,1985-03-28,Polonnaruwa,Hingurakgoda,"809 Galle Road, Hingurakgoda, Polonnaruwa",0718464051,Single,812389577V,N9506659,yasara.hewage@yahoo.com
5091,Ms.,Ishani Yogarajah,Female,1976-01-17,Nuwara Eliya,Nuwara Eliya,"599 Main Road, Nuwara Eliya, Nuwara Eliya",0798410519,Single,701676715V,N4357462,ishani.yogarajah@gmail.com
5092,Mr.,Jagath Alwis,Male,1986-04-02,Mannar,Manthai West,"246 Kandy Road, Manthai West, Mannar",0757157101,Married,872608155V,N5325007,jagath.alwis@hotmail.com
5093,Mrs.,Wasanthi Fonseka,Female,2006-02-21,Polonnaruwa,Elahera,"872 Galle Road, Elahera, Polonnaruwa",0712566066,Single,903097922V,N9827968,wasanthi.fonseka@hotmail.com
5094,Mr.,Ranjith Ekanayake,Male,1987-08-04,Matale,Yatawatta,"935 Temple Road, Yatawatta, Matale",0773530346,Divorced,502566500V,N7604426,
5095,Miss,Deepthi Kulathunga,Female,2000-03-15,Ratnapura,Weligepola,"612 Temple Road, Weligepola, Ratnapura",0763453807,Married,768582065V,N6984499,deepthi.kulathunga@gmail.com
5096,Mr.,Lahiru Kumara,Male,1984-10-22,Kurunegala,Kuliyapitiya East,"974 Kandy Road, Kuliyapitiya East, Kurunegala",0776679409,Single,875160210V,N6376900,
5097,Mr.,Zahran Kodithuwakku,Male,1979-09-03,Jaffna,Valikamam West,"226 School Lane, Valikamam West, Jaffna",0766111359,Single,664250073V,N6285623,
5098,Mr.,Harsha Dias,Male,1998-10-03,Badulla,Rideemaliyadda,"35 High Street, Rideemaliyadda, Badulla",0795351184,Single,558558293V,N3036294,harsha.dias@hotmail.com
5099,Mr.,Thilina Fonseka,Male,1980-03-26,Kurunegala,Katupotha,"517 Main Road, Katupotha, Kurunegala",0797080245,Married,558524005V,N1575846,thilina.fonseka@slnet.lk
5100,Ms.,Tharushi Senanayake,Female,1982-02-03,Kilinochchi,Pachchilaipalli,"726 Colombo Street, Pachchilaipalli, Kilinochchi",0757948236,Single,699689856V,N3661163,
5101,Mr.,Kamal Quintus,Male,1998-01-16,Colombo,Colombo,"380 Main Road, Colombo, Colombo",0726249767,Married,705869829V,N1363586,
5102,Mr.,Ranjith Nadarajah,Male,1997-11-01,Kurunegala,Mawathagama,"182 Main Road, Mawathagama, Kurunegala",0727802597,Married,750159818V,N7740584,
5103,Mr.,Mohamed Opatha,Male,1988-12-30,Trincomalee,Kantalai,"697 Church Street, Kantalai, Trincomalee",0735426052,Married,705126350V,N8458938,mohamed.opatha@gmail.com
5104,Mr.,Ahmed Kodithuwakku,Male,2002-11-19,Hambantota,Okewela,"171 Church Street, Okewela, Hambantota",0797290594,Single,755727862V,N4371097,ahmed.kodithuwakku@slnet.lk
5105,Mr.,Lasantha Amarasinghe,Male,1980-02-06,Gampaha,Wattala,"888 Galle Road, Wattala, Gampaha",0779811906,Married,576601132V,N1389797,lasantha.amarasinghe@yahoo.com
5106,Ms.,Yashodha Sivapragasam,Female,2000-07-06,Kandy,Delthota,"455 Church Street, Delthota, Kandy",0744915828,Divorced,632131954V,N4559552,
5107,Mr.,Eranga Wijesinghe,Male,2006-10-04,Galle,Hikkaduwa,"51 Park Lane, Hikkaduwa, Galle",0786957342,Single,869963713V,N3612428,eranga.wijesinghe@gmail.com
